"id","school_list_id","school_id","status"
139,9705,3,"Interested"
140,9705,8,"Interested"
141,9705,6,"Applying"
142,671,10,"Interested"
143,671,4,"Interested"
144,671,8,"Interested"
145,671,1,"Interested"
146,671,6,"Applying"
147,671,2,"Interested"
148,671,7,"Applied"
149,9126,1,"Interested"
150,9126,5,"Interested"
151,9126,9,"Enrolled"
152,9126,8,"Applied"
153,9126,10,"Interested"
154,2,7,"Interested"
155,2,8,"Interested"
156,2,1,"Interested"
157,2,4,"Interested"
158,2,3,"Interested"
159,906,1,"Applying"
160,906,7,"Interested"
161,906,4,"Accepted"
162,906,8,"Accepted"
163,906,5,"Accepted"
164,906,9,"Interested"
165,906,6,"Applied"
166,906,10,"Applying"
167,906,2,"Rejected"
168,2095,6,"Interested"
169,2095,5,"Enrolled"
170,2095,1,"Interested"
171,2095,4,"Interested"
172,2095,7,"Accepted"
173,2095,2,"Interested"
174,2095,3,"Interested"
175,2095,8,"Interested"
176,6047,6,"Interested"
177,6047,4,"Interested"
178,6047,8,"Interested"
179,6047,7,"Interested"
180,6047,9,"Interested"
181,6047,3,"Applied"
182,6047,10,"Accepted"
183,6047,1,"Applied"
184,5577,1,"Interested"
185,5577,5,"Rejected"
186,5577,4,"Interested"
187,5577,3,"Interested"
188,5577,7,"Rejected"
189,5577,8,"Interested"
190,5577,9,"Applied"
191,5577,2,"Interested"
192,4038,2,"Rejected"
193,4038,10,"Interested"
194,4038,4,"Applying"
195,4038,8,"Interested"
196,4038,5,"Interested"
197,4038,7,"Interested"
198,4038,1,"Interested"
199,4038,6,"Interested"
200,34,3,"Rejected"
201,34,4,"Interested"
202,34,1,"Interested"
203,34,5,"Interested"
204,34,8,"Rejected"
205,34,9,"Accepted"
206,34,7,"Interested"
207,9356,1,"Applied"
208,9356,3,"Interested"
209,9356,5,"Interested"
210,9356,7,"Rejected"
211,9356,9,"Applying"
212,9356,10,"Accepted"
213,8714,4,"Applied"
214,8714,3,"Interested"
215,8714,10,"Rejected"
216,8714,5,"Interested"
217,8714,7,"Interested"
218,8714,9,"Applying"
219,8112,5,"Accepted"
220,8112,4,"Interested"
221,8112,8,"Interested"
222,8112,9,"Applied"
223,8112,7,"Applied"
224,8273,4,"Applying"
225,8273,1,"Interested"
226,8273,9,"Interested"
227,8273,8,"Accepted"
228,8273,10,"Rejected"
229,8273,2,"Applied"
230,8273,5,"Rejected"
231,5048,1,"Interested"
232,5048,5,"Interested"
233,5048,4,"Interested"
234,5048,9,"Interested"
235,5048,2,"Interested"
236,5048,10,"Applying"
237,6807,7,"Interested"
238,6807,5,"Applying"
239,6807,6,"Rejected"
240,6807,10,"Rejected"
241,6807,2,"Interested"
242,6807,1,"Applied"
243,6807,9,"Applying"
244,6807,8,"Accepted"
245,3,10,"Interested"
246,3,5,"Accepted"
247,3,1,"Applying"
248,3,7,"Applying"
249,3,9,"Applied"
250,3,4,"Interested"
251,3,3,"Rejected"
252,1278,3,"Interested"
253,1278,9,"Interested"
254,1278,5,"Interested"
255,1278,7,"Interested"
256,1278,1,"Interested"
257,1278,6,"Applying"
258,1278,2,"Interested"
259,5377,6,"Interested"
260,5377,7,"Interested"
261,5377,9,"Interested"
262,5377,2,"Interested"
263,5377,3,"Interested"
264,5377,4,"Rejected"
265,5377,1,"Accepted"
266,5377,5,"Applying"
267,860,3,"Rejected"
268,860,1,"Interested"
269,860,8,"Enrolled"
270,860,7,"Interested"
271,860,5,"Interested"
272,860,10,"Interested"
273,860,4,"Interested"
274,7626,8,"Interested"
275,7626,9,"Interested"
276,7626,8,"Accepted"
277,7626,10,"Accepted"
278,7626,8,"Applied"
279,7626,2,"Applied"
280,7626,2,"Interested"
281,7626,2,"Interested"
282,8782,5,"Interested"
283,8782,8,"Accepted"
284,8782,4,"Interested"
285,8782,9,"Interested"
286,8782,3,"Applying"
287,8782,6,"Interested"
288,8782,1,"Accepted"
289,8782,2,"Applying"
290,8782,10,"Interested"
291,5000,7,"Interested"
292,5000,5,"Interested"
293,5000,10,"Interested"
294,5000,9,"Applied"
295,5000,4,"Interested"
296,5000,6,"Applied"
297,5000,8,"Interested"
298,5000,1,"Applying"
299,5000,3,"Interested"
300,5000,2,"Applying"
301,210,2,"Accepted"
302,210,9,"Rejected"
303,210,10,"Interested"
304,210,8,"Rejected"
305,210,1,"Interested"
306,210,4,"Applying"
307,210,3,"Enrolled"
308,210,7,"Rejected"
309,210,5,"Interested"
310,3467,10,"Interested"
311,3467,4,"Interested"
312,3467,6,"Applying"
313,3467,2,"Interested"
314,3467,5,"Interested"
315,3467,9,"Applied"
316,9638,6,"Interested"
317,9638,4,"Accepted"
318,9638,5,"Interested"
319,9638,2,"Applying"
320,9638,10,"Interested"
321,9638,7,"Interested"
322,9638,8,"Interested"
323,5367,6,"Interested"
324,5367,2,"Interested"
325,5367,9,"Applied"
326,5367,4,"Applied"
327,5367,8,"Interested"
328,5367,1,"Interested"
329,5367,3,"Interested"
330,5367,7,"Enrolled"
331,5367,10,"Accepted"
332,5367,5,"Applying"
333,9764,3,"Interested"
334,9764,9,"Enrolled"
335,9764,10,"Applied"
336,9764,5,"Interested"
337,9764,6,"Interested"
338,9764,7,"Accepted"
339,7600,5,"Interested"
340,7600,10,"Interested"
341,7600,8,"Enrolled"
342,7600,7,"Enrolled"
343,7600,3,"Applying"
344,7600,2,"Rejected"
345,7132,6,"Interested"
346,7132,2,"Interested"
347,7132,10,"Interested"
348,7132,1,"Accepted"
349,7132,3,"Applied"
350,7132,7,"Applied"
351,7132,5,"Rejected"
352,7132,4,"Applied"
353,1717,7,"Rejected"
354,1717,10,"Interested"
355,1717,5,"Interested"
356,1717,1,"Interested"
357,1717,6,"Interested"
358,1717,8,"Interested"
359,1717,3,"Rejected"
360,8466,7,"Accepted"
361,8466,10,"Interested"
362,8466,3,"Interested"
363,8466,2,"Rejected"
364,8466,5,"Interested"
365,8466,1,"Interested"
366,3088,7,"Accepted"
367,3088,8,"Interested"
368,3088,4,"Applying"
369,3088,3,"Accepted"
370,3088,2,"Interested"
371,3088,9,"Rejected"
372,3088,1,"Enrolled"
373,1026,8,"Accepted"
374,1026,4,"Interested"
375,1026,2,"Applying"
376,1026,10,"Accepted"
377,1026,1,"Interested"
378,1026,6,"Interested"
379,664,5,"Rejected"
380,664,9,"Applying"
381,664,1,"Interested"
382,664,8,"Applied"
383,664,6,"Applying"
384,664,10,"Applying"
385,664,3,"Interested"
386,664,2,"Interested"
387,2153,9,"Applying"
388,2153,7,"Interested"
389,2153,7,"Enrolled"
390,2153,7,"Accepted"
391,2153,2,"Interested"
392,2153,10,"Interested"
393,2153,9,"Interested"
394,2153,9,"Interested"
395,3542,6,"Rejected"
396,3542,1,"Interested"
397,3542,7,"Applying"
398,3542,8,"Rejected"
399,3542,4,"Accepted"
400,3542,1,"Accepted"
401,6319,4,"Interested"
402,6319,7,"Applied"
403,6319,9,"Interested"
404,6319,5,"Accepted"
405,6319,2,"Interested"
406,6319,8,"Applying"
407,4814,2,"Applying"
408,4814,9,"Interested"
409,4814,10,"Interested"
410,4814,1,"Rejected"
411,4814,6,"Interested"
412,4814,3,"Interested"
413,4814,4,"Applied"
414,851,7,"Applying"
415,851,9,"Interested"
416,851,4,"Interested"
417,851,6,"Rejected"
418,851,8,"Accepted"
419,851,1,"Interested"
420,6165,2,"Interested"
421,6165,9,"Applying"
422,6165,5,"Interested"
423,6165,9,"Interested"
424,6165,10,"Interested"
425,6165,9,"Interested"
426,6165,1,"Applied"
427,6165,6,"Interested"
428,6558,10,"Rejected"
429,6558,5,"Interested"
430,6558,1,"Applying"
431,6558,4,"Applied"
432,6558,7,"Enrolled"
433,6558,6,"Applied"
434,6558,9,"Enrolled"
435,1612,10,"Rejected"
436,1612,9,"Rejected"
437,1612,3,"Enrolled"
438,1612,5,"Interested"
439,1612,1,"Interested"
440,1612,6,"Interested"
441,1612,4,"Interested"
442,1612,7,"Interested"
443,1612,8,"Applying"
444,1612,2,"Interested"
445,2365,9,"Interested"
446,2365,1,"Interested"
447,2365,10,"Applying"
448,2365,3,"Interested"
449,2365,6,"Interested"
450,2365,8,"Interested"
451,2228,4,"Applying"
452,2228,1,"Applying"
453,2228,5,"Applied"
454,2228,8,"Enrolled"
455,2228,6,"Interested"
456,2228,10,"Rejected"
457,2228,7,"Rejected"
458,2228,9,"Interested"
459,2228,3,"Applied"
460,7739,6,"Interested"
461,7739,8,"Interested"
462,7739,10,"Interested"
463,7739,7,"Applied"
464,7739,3,"Enrolled"
465,7739,1,"Interested"
466,7739,2,"Applied"
467,7845,9,"Accepted"
468,7845,8,"Interested"
469,7845,1,"Interested"
470,7845,6,"Interested"
471,7845,2,"Interested"
472,7845,10,"Interested"
473,7845,4,"Interested"
474,7845,7,"Accepted"
475,6623,2,"Interested"
476,6623,9,"Interested"
477,6623,10,"Interested"
478,6623,7,"Interested"
479,6623,4,"Interested"
480,6623,6,"Interested"
481,6623,3,"Interested"
482,7264,5,"Interested"
483,7264,4,"Interested"
484,7264,6,"Interested"
485,7264,2,"Interested"
486,7264,10,"Interested"
487,7264,8,"Accepted"
488,7264,3,"Interested"
489,7264,6,"Interested"
490,6012,7,"Rejected"
491,6012,2,"Interested"
492,6012,9,"Interested"
493,6012,4,"Rejected"
494,6012,5,"Enrolled"
495,6012,6,"Interested"
496,6012,6,"Applying"
497,6012,5,"Rejected"
498,6012,5,"Rejected"
499,6012,4,"Interested"
500,6977,2,"Interested"
501,6977,10,"Applying"
502,6977,8,"Interested"
503,6977,3,"Interested"
504,2645,3,"Interested"
505,2645,7,"Interested"
506,2645,2,"Applying"
507,2645,10,"Interested"
508,2645,1,"Enrolled"
509,2645,5,"Interested"
510,2645,1,"Applying"
511,2645,10,"Applying"
512,9472,1,"Interested"
513,9472,4,"Rejected"
514,9472,9,"Interested"
515,9472,10,"Enrolled"
516,9472,3,"Rejected"
517,9472,5,"Applied"
518,9472,6,"Interested"
519,2460,6,"Interested"
520,2460,1,"Interested"
521,2460,9,"Interested"
522,2460,10,"Interested"
523,2460,3,"Interested"
524,2460,5,"Interested"
525,2460,8,"Interested"
526,2460,7,"Applied"
527,2460,2,"Interested"
528,6157,5,"Interested"
529,6157,7,"Interested"
530,6157,1,"Enrolled"
531,6157,9,"Interested"
532,6157,6,"Interested"
533,6157,8,"Interested"
534,6157,10,"Interested"
535,5965,4,"Rejected"
536,5965,6,"Accepted"
537,5965,3,"Rejected"
538,5965,5,"Applying"
539,5965,1,"Enrolled"
540,5965,2,"Interested"
541,5965,9,"Interested"
542,5965,10,"Interested"
543,5965,8,"Applying"
544,3215,10,"Interested"
545,3215,1,"Applied"
546,3215,3,"Interested"
547,3215,8,"Applying"
548,3215,2,"Interested"
549,3215,4,"Interested"
550,1298,7,"Enrolled"
551,1298,6,"Applying"
552,1298,9,"Interested"
553,1298,4,"Enrolled"
554,1298,10,"Accepted"
555,1298,8,"Interested"
556,5454,7,"Applying"
557,5454,10,"Rejected"
558,5454,5,"Applied"
559,5454,3,"Interested"
560,5454,4,"Rejected"
561,5454,2,"Applying"
562,5454,1,"Rejected"
563,5454,9,"Interested"
564,4731,3,"Interested"
565,4731,6,"Rejected"
566,4731,10,"Interested"
567,4731,4,"Applied"
568,4731,5,"Interested"
569,4731,1,"Applied"
570,4731,2,"Interested"
571,9268,2,"Interested"
572,9268,6,"Applied"
573,9268,7,"Interested"
574,9268,10,"Interested"
575,9268,5,"Accepted"
576,9268,9,"Rejected"
577,4585,5,"Interested"
578,4585,6,"Interested"
579,4585,9,"Interested"
580,4585,7,"Applying"
581,4585,3,"Interested"
582,4585,4,"Accepted"
583,4585,8,"Rejected"
584,3120,1,"Interested"
585,9623,3,"Interested"
586,9623,3,"Enrolled"
587,9623,8,"Interested"
588,9623,8,"Applied"
589,9623,9,"Interested"
590,9623,7,"Interested"
591,9623,9,"Interested"
592,9623,1,"Applied"
593,9623,9,"Interested"
594,7952,6,"Accepted"
595,7952,5,"Interested"
596,7952,8,"Interested"
597,7952,2,"Applying"
598,7952,3,"Interested"
599,7952,1,"Interested"
600,3274,5,"Interested"
601,3274,6,"Interested"
602,3274,7,"Interested"
603,3274,1,"Rejected"
604,3274,8,"Interested"
605,3274,3,"Applied"
606,9371,10,"Interested"
607,9371,1,"Interested"
608,9371,8,"Interested"
609,9371,6,"Accepted"
610,9371,9,"Applying"
611,9371,4,"Accepted"
612,3833,4,"Interested"
613,3833,7,"Interested"
614,3833,8,"Interested"
615,3833,2,"Applied"
616,3833,3,"Interested"
617,3833,6,"Applied"
618,3833,10,"Interested"
619,3833,9,"Interested"
620,815,2,"Interested"
621,815,6,"Interested"
622,815,10,"Applying"
623,815,1,"Applied"
624,815,3,"Applying"
625,815,8,"Interested"
626,815,5,"Interested"
627,3685,2,"Interested"
628,3685,4,"Interested"
629,3685,1,"Interested"
630,3685,9,"Interested"
631,3685,3,"Rejected"
632,3685,7,"Interested"
633,6458,4,"Rejected"
634,6458,5,"Interested"
635,6458,9,"Rejected"
636,6458,3,"Accepted"
637,6458,7,"Interested"
638,6458,10,"Interested"
639,6458,1,"Interested"
640,5942,8,"Interested"
641,5942,2,"Interested"
642,5942,1,"Interested"
643,5942,9,"Interested"
644,5942,5,"Interested"
645,5942,7,"Accepted"
646,5942,10,"Interested"
647,5942,4,"Interested"
648,5942,6,"Interested"
649,651,10,"Interested"
650,651,1,"Accepted"
651,651,5,"Rejected"
652,651,3,"Interested"
653,651,9,"Accepted"
654,651,6,"Rejected"
655,651,7,"Interested"
656,651,4,"Rejected"
657,5053,8,"Rejected"
658,5053,5,"Applied"
659,5053,4,"Applied"
660,5053,7,"Accepted"
661,5053,3,"Interested"
662,5053,6,"Enrolled"
663,5053,1,"Rejected"
664,5053,10,"Accepted"
665,5053,2,"Applied"
666,5276,6,"Applied"
667,5276,1,"Enrolled"
668,5276,9,"Enrolled"
669,5276,4,"Rejected"
670,5276,8,"Interested"
671,5276,2,"Interested"
672,7826,3,"Interested"
673,7826,8,"Enrolled"
674,7826,9,"Interested"
675,4741,10,"Interested"
676,4741,6,"Interested"
677,4741,1,"Rejected"
678,4741,2,"Accepted"
679,4741,5,"Interested"
680,4741,3,"Accepted"
681,4741,8,"Applying"
682,4741,4,"Interested"
683,4741,7,"Enrolled"
684,7017,6,"Applying"
685,7017,4,"Applying"
686,7017,5,"Interested"
687,7017,9,"Interested"
688,7017,8,"Interested"
689,7017,2,"Interested"
690,7017,1,"Interested"
691,1947,3,"Interested"
692,1947,10,"Applied"
693,1947,9,"Interested"
694,1947,8,"Rejected"
695,1947,4,"Interested"
696,1947,2,"Applying"
697,1947,5,"Interested"
698,1947,1,"Accepted"
699,1764,10,"Enrolled"
700,1764,3,"Applying"
701,1764,6,"Interested"
702,1764,8,"Interested"
703,1764,7,"Interested"
704,1764,2,"Accepted"
705,1764,4,"Interested"
706,1764,5,"Rejected"
707,1764,1,"Interested"
708,1764,9,"Accepted"
709,2173,4,"Interested"
710,2173,8,"Applying"
711,2173,1,"Interested"
712,2173,2,"Accepted"
713,2173,6,"Interested"
714,2173,9,"Rejected"
715,2173,10,"Interested"
716,2173,5,"Interested"
717,2173,7,"Interested"
718,7368,10,"Rejected"
719,7368,1,"Interested"
720,7368,8,"Applying"
721,7368,4,"Interested"
722,7368,2,"Interested"
723,7368,7,"Interested"
724,7368,5,"Interested"
725,7368,9,"Applying"
726,3507,9,"Accepted"
727,3507,7,"Interested"
728,3507,2,"Applied"
729,3507,4,"Enrolled"
730,3507,6,"Accepted"
731,3507,10,"Applying"
732,8605,8,"Rejected"
733,8605,10,"Interested"
734,8605,1,"Interested"
735,8605,7,"Interested"
736,8605,3,"Rejected"
737,8605,4,"Applied"
738,8605,2,"Interested"
739,8605,9,"Interested"
740,9878,5,"Interested"
741,9878,6,"Enrolled"
742,9878,7,"Accepted"
743,9878,2,"Rejected"
744,9878,1,"Interested"
745,9878,9,"Interested"
746,9878,8,"Interested"
747,4478,6,"Interested"
748,4478,10,"Enrolled"
749,4478,9,"Interested"
750,4478,8,"Interested"
751,4478,4,"Enrolled"
752,4478,7,"Interested"
753,6816,8,"Interested"
754,6816,6,"Accepted"
755,6816,3,"Applying"
756,6816,9,"Interested"
757,6816,2,"Rejected"
758,6816,10,"Interested"
759,6816,5,"Enrolled"
760,6816,7,"Interested"
761,9975,3,"Applied"
762,9975,7,"Rejected"
763,9975,6,"Interested"
764,9975,4,"Interested"
765,9975,1,"Rejected"
766,1428,6,"Applied"
767,1428,4,"Applying"
768,1428,8,"Interested"
769,1428,5,"Interested"
770,1428,3,"Interested"
771,1428,7,"Interested"
772,1428,10,"Applied"
773,1428,2,"Rejected"
774,6923,2,"Interested"
775,6923,6,"Accepted"
776,6923,5,"Rejected"
777,6923,7,"Interested"
778,6923,4,"Interested"
779,6923,9,"Enrolled"
780,6923,10,"Interested"
781,6923,3,"Applying"
782,6923,1,"Interested"
783,6923,8,"Interested"
784,7964,8,"Enrolled"
785,7964,5,"Interested"
786,7964,10,"Accepted"
787,7964,6,"Interested"
788,5272,3,"Interested"
789,5272,7,"Interested"
790,5272,5,"Interested"
791,5272,9,"Interested"
792,5272,8,"Interested"
793,5272,1,"Applying"
794,5272,2,"Accepted"
795,5272,6,"Applied"
796,516,4,"Rejected"
797,516,2,"Accepted"
798,516,3,"Applying"
799,516,1,"Applied"
800,516,6,"Accepted"
801,516,10,"Interested"
802,516,8,"Rejected"
803,516,5,"Interested"
804,516,9,"Interested"
805,516,7,"Accepted"
806,9248,3,"Interested"
807,9248,5,"Interested"
808,9248,8,"Interested"
809,9248,9,"Rejected"
810,9248,4,"Applying"
811,9248,2,"Interested"
812,9248,10,"Interested"
813,9248,7,"Accepted"
814,3278,4,"Rejected"
815,3278,1,"Applying"
816,3278,7,"Interested"
817,3278,3,"Interested"
818,3278,9,"Interested"
819,3278,2,"Interested"
820,5420,6,"Interested"
821,5420,3,"Applied"
822,5420,4,"Interested"
823,5420,2,"Interested"
824,5420,8,"Interested"
825,6070,8,"Interested"
826,6070,10,"Applying"
827,6070,3,"Applying"
828,6070,4,"Interested"
829,6070,9,"Rejected"
830,6070,6,"Interested"
831,6070,7,"Interested"
832,5060,10,"Applied"
833,5060,8,"Accepted"
834,5060,6,"Interested"
835,5060,4,"Interested"
836,5060,9,"Interested"
837,5060,3,"Interested"
838,5060,5,"Applying"
839,7929,5,"Interested"
840,7929,10,"Interested"
841,7929,4,"Rejected"
842,7929,2,"Applied"
843,7929,1,"Interested"
844,7929,3,"Applying"
845,7929,8,"Interested"
846,7929,9,"Interested"
847,3863,5,"Interested"
848,3863,1,"Accepted"
849,3863,6,"Interested"
850,3863,4,"Enrolled"
851,3863,3,"Applying"
852,3863,8,"Enrolled"
853,3863,10,"Rejected"
854,4609,9,"Applying"
855,4609,1,"Applied"
856,4609,8,"Interested"
857,4609,4,"Interested"
858,4609,5,"Enrolled"
859,4609,7,"Interested"
860,3142,1,"Interested"
861,3142,10,"Interested"
862,3142,2,"Applying"
863,3142,6,"Interested"
864,3142,5,"Applying"
865,2810,1,"Rejected"
866,2810,9,"Interested"
867,2810,7,"Interested"
868,2810,3,"Interested"
869,2810,8,"Interested"
870,2810,6,"Interested"
871,2810,2,"Interested"
872,2810,10,"Applied"
873,2810,5,"Interested"
874,8796,3,"Interested"
875,3250,4,"Accepted"
876,3250,5,"Interested"
877,3250,1,"Enrolled"
878,3250,7,"Interested"
879,3250,10,"Applied"
880,3250,6,"Rejected"
881,3250,9,"Accepted"
882,3250,8,"Enrolled"
883,5508,9,"Rejected"
884,5508,4,"Accepted"
885,5508,2,"Enrolled"
886,5508,5,"Interested"
887,5508,10,"Interested"
888,5508,1,"Interested"
889,5508,8,"Enrolled"
890,8626,1,"Interested"
891,8626,8,"Rejected"
892,8626,4,"Enrolled"
893,8626,7,"Rejected"
894,8626,2,"Interested"
895,8626,3,"Interested"
896,8626,10,"Interested"
897,8626,6,"Applying"
898,4273,4,"Enrolled"
899,4273,6,"Applying"
900,4273,1,"Rejected"
901,4273,7,"Enrolled"
902,4273,10,"Interested"
903,4273,5,"Applied"
904,4273,8,"Applied"
905,4273,2,"Interested"
906,4114,3,"Accepted"
907,4114,7,"Interested"
908,4114,8,"Applying"
909,4114,4,"Interested"
910,4114,5,"Applied"
911,4114,9,"Accepted"
912,4114,1,"Interested"
913,4114,2,"Accepted"
914,9426,3,"Applied"
915,9426,6,"Enrolled"
916,9426,4,"Applied"
917,9426,9,"Applying"
918,9426,8,"Interested"
919,9426,5,"Rejected"
920,9426,1,"Interested"
921,4981,4,"Accepted"
922,4981,5,"Interested"
923,4981,7,"Interested"
924,4981,2,"Interested"
925,4981,9,"Interested"
926,4981,1,"Interested"
927,4981,3,"Applied"
928,4981,6,"Rejected"
929,2152,2,"Applied"
930,2152,5,"Rejected"
931,2152,1,"Accepted"
932,2152,9,"Accepted"
933,2152,8,"Enrolled"
934,2152,5,"Enrolled"
935,5940,9,"Interested"
936,5940,2,"Applying"
937,5940,9,"Applying"
938,5940,3,"Interested"
939,5940,1,"Interested"
940,5940,4,"Interested"
941,5940,7,"Applied"
942,9474,10,"Interested"
943,9474,8,"Accepted"
944,9474,3,"Interested"
945,9474,5,"Applying"
946,9474,1,"Accepted"
947,9474,7,"Interested"
948,9474,4,"Interested"
949,9474,9,"Accepted"
950,9474,6,"Interested"
951,9164,1,"Accepted"
952,9164,6,"Rejected"
953,9164,10,"Applied"
954,9164,8,"Accepted"
955,9164,7,"Interested"
956,9164,3,"Applied"
957,9164,9,"Interested"
958,1128,5,"Interested"
959,1128,6,"Applying"
960,1128,9,"Accepted"
961,1128,10,"Interested"
962,1128,8,"Applied"
963,1128,4,"Accepted"
964,1128,2,"Interested"
965,1128,3,"Applying"
966,1128,7,"Interested"
967,1128,1,"Interested"
968,8718,9,"Applied"
969,8718,10,"Accepted"
970,8718,2,"Interested"
971,8718,3,"Rejected"
972,8718,6,"Interested"
973,8718,4,"Applied"
974,1145,3,"Interested"
975,1145,2,"Interested"
976,1145,9,"Interested"
977,1145,10,"Rejected"
978,1145,8,"Interested"
979,4613,7,"Applying"
980,4613,5,"Interested"
981,4613,7,"Interested"
982,4613,5,"Interested"
983,4613,8,"Interested"
984,4613,2,"Interested"
985,4613,2,"Interested"
986,4613,3,"Interested"
987,4613,4,"Interested"
988,4613,10,"Interested"
989,9085,10,"Interested"
990,9085,1,"Interested"
991,9085,8,"Interested"
992,9085,7,"Accepted"
993,9085,3,"Accepted"
994,9085,2,"Interested"
995,3000,3,"Interested"
996,3000,8,"Applying"
997,3000,10,"Interested"
998,3000,7,"Interested"
999,3000,6,"Rejected"
1000,3000,4,"Applied"
1001,3000,5,"Applying"
1002,5801,9,"Interested"
1003,5801,7,"Accepted"
1004,5801,3,"Interested"
1005,5801,1,"Applying"
1006,9368,3,"Interested"
1007,9368,5,"Interested"
1008,9368,9,"Accepted"
1009,9368,8,"Interested"
1010,9368,2,"Applying"
1011,9368,6,"Interested"
1012,9368,4,"Interested"
1013,9368,10,"Interested"
1014,1429,9,"Interested"
1015,1429,10,"Accepted"
1016,1429,8,"Applying"
1017,1429,7,"Interested"
1018,169,10,"Rejected"
1019,169,4,"Interested"
1020,169,4,"Interested"
1021,169,2,"Interested"
1022,9789,1,"Interested"
1023,5559,10,"Interested"
1024,5559,6,"Interested"
1025,5559,9,"Applying"
1026,5559,5,"Interested"
1027,5559,1,"Interested"
1028,5559,8,"Interested"
1029,5559,2,"Applied"
1030,5559,4,"Accepted"
1031,5559,7,"Interested"
1032,3687,8,"Interested"
1033,3687,9,"Applying"
1034,3687,6,"Rejected"
1035,3687,2,"Accepted"
1036,3687,4,"Interested"
1037,3687,10,"Applied"
1038,3687,5,"Interested"
1039,3687,3,"Interested"
1040,3769,9,"Interested"
1041,3769,7,"Accepted"
1042,3769,8,"Applied"
1043,3769,2,"Interested"
1044,3769,1,"Interested"
1045,9005,6,"Interested"
1046,9005,3,"Enrolled"
1047,9005,4,"Accepted"
1048,9005,5,"Applied"
1049,2825,5,"Interested"
1050,2825,8,"Interested"
1051,2825,1,"Interested"
1052,2825,9,"Applying"
1053,2825,2,"Enrolled"
